experiment_type,dataset,origin_size,column_number,scale,scale_size,support,confidence,inc_type,inc_ratio,base_size,update_size,counter_sketch_w,counter_sketch_h,machines,inc_rule_number,inc_recall,inc_f1,inc_tp,inc_fp,inc_fn,inc_tn,inc_memory_mb,inc_time_s,inc_filtering_time_s,inc_revisit_time_s,inc_expansion_time_s,inc_aff_calculate_time_s,counter_sketch_error_bound,counter_sketch_failure_probability,batch_time_s,batch_rule_number,batch_memory_mb,rule_lhs_max_size,inc_model_retrain_time_s
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.2,11503,661,0.8,add,0.01,8051,116,262144,5,1,958,0.893055556,0.920544023,643,34,77,0,174.800705,2.715360647,0.26707497,0.003098152,3.81E-06,6.855421518,876616.73,1.221402758,6.197234482,2228,147.7017593,20,1.356822332
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.4,23006,1323,0.8,add,0.01,16103,231,262144,5,1,988,0.951923077,0.955862069,693,29,35,0,181.2644882,2.920661089,0.374319294,0.023361225,3.61E-06,6.966915776,3621914.101,1.221402758,12.20518091,2365,210.7773285,20,1.40587699
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.6,34509,1984,0.8,add,0.01,24155,346,262144,5,1,1052,0.9365722,0.946793997,694,31,47,0,317.6881409,3.152746365,0.538360906,0.003382844,4.14E-06,8.006643803,8223735.519,1.221402758,16.75872258,2242,250.0830383,20,1.387293898
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,0.8,46012,2646,0.8,add,0.01,32207,461,262144,5,1,1124,0.939924906,0.953650794,751,25,48,0,433.4319305,3.540408294,0.892001759,0.007392892,5.41E-06,8.715448625,14501020.37,1.221402758,21.3746056,2337,428.8407059,20,1.401549321
SCALE,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1,57516,3308,0.8,add,0.01,40260,576,262144,5,1,1111,0.932415519,0.944233207,745,34,54,0,444.0643311,3.691298131,0.999857356,0.003898088,4.40E-06,8.720227163,23374416.67,1.221402758,29.12024421,2465,400.5388947,20,1.403468225
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1,57516,3308,0.8,add,0.01,40260,576,262144,5,1,1150,0.937810945,0.955034832,754,21,50,0,431.0224457,3.522123898,0.785993089,0.009992452,5.42E-06,8.91064793,23502513.84,1.221402758,32.10549334,2425,396.4909973,20,1.447870577
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1,57516,3308,0.8,add,0.05,40261,2876,262144,5,1,1202,0.906574394,0.934046346,786,30,81,0,521.690834,7.452745103,3.934730029,0.009862592,6.28E-06,14.94433191,24004754.66,1.221402758,32.47359227,2575,421.774231,20,1.461254135
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1,57516,3308,0.8,add,0.15,40260,8628,262144,5,1,1210,0.835690968,0.895104895,768,29,151,0,571.8959427,20.03505849,14.42120661,0.013305564,6.56E-06,29.11757326,23402930,1.221402758,36.31987289,2709,495.2358093,20,1.585602274
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1,57516,3308,0.8,add,0.2,40260,11504,262144,5,1,1188,0.819429778,0.883323847,776,34,171,0,599.1235809,23.75726461,16.94316111,0.031553052,6.66E-06,35.89942769,23174003.67,1.221402758,37.43919753,2714,522.9762421,20,1.476363883
ADD,/pv32/incremental-rule-discovery/datasets/airports.csv,57516,18,1,57516,3308,0.8,add,0.3,40261,17255,262144,5,1,1125,0.639589169,0.771830986,685,19,386,0,648.4674301,33.58589384,24.29903473,0.024450214,7.31E-06,52.7062013,23250819.41,1.221402758,45.63225225,3425,586.0025864,20,1.464792403
